OBJECTID,CODE,COUNTRY,TRANSLATION
2,AT,Austria,austria
4,BE,Belgium,belgium
5,BG,Bulgaria,bulgaria
6,CH,Switzerland,switzerland
7,CZ,Czech Republic,czech republic
8,DE,Germany,germany
9,DK,Denmark,denmark
10,EE,Estonia,estonia
11,ES,Spain,spain
12,FR,France,france
13,GB,United Kingdom,united kingdom
14,GR,Greece,greece
15,HR,Croatia,croatia
16,HU,Hungary,hungary
17,IE,Ireland,ireland
18,IT,Italy,italy
19,LT,Lithuania,lithuania
20,LV,Latvia,latvia
21,MK,"Macedonia, The Former Yugoslav Republic Of","macedonia, the former yugoslav republic"
22,NL,Netherlands,netherlands
23,NO,Norway,norway
24,PL,Poland,poland
25,PT,Portugal,portugal
26,RO,Romania,romania
27,RS,Serbia and Montenegro,serbia and montenegro
28,SI,Slovenia,slovenia
29,SK,Slovakia,slovakia