OBJECTID,COUNTRY,Cnt_COUNTRY,Sum_EST_STORECAP_MEAN,Sum_MEAN_EST_STORE_CAP_GAS,Sum_MEAN_EST_STORE_CAP_OIL
1,Austria,2,0.000000000000000,22000.000000000000000,17.000000000000000
2,Belgium,2,27.000000000000000,0.000000000000000,0.000000000000000
3,Bulgaria,1,0.000000000000000,5.000000000000000,0.000000000000000
4,Croatia,17,0.000000000000000,136.413427354000020,38.939926568999994
5,Czech Republic,6,188.399999999999980,18.000000000000000,1.400000000000000
6,Denmark,10,16027.000000000000000,0.000000000000000,0.000000000000000
7,France,33,0.000000000000000,0.000000000000000,38.475999999999999
8,Germany,75,0.000000000000000,2255.399999999999600,97.999999999999986
9,Greece,8,1976.000000000000000,6.000000000000000,31.000000000000000
10,Hungary,19,450.199999999999990,94.949999999999974,3.057000000000000
11,Ireland,2,40.500000000000000,332.000000000000000,0.000000000000000
12,Italy,14,0.000000000000000,132.488107015000000,1.062907258000000
13,Latvia,18,919.000000000000000,0.000000000000000,0.000000000000000
14,Lithuania,14,72.700000000000003,0.590000000000000,6.489999999999998
15,Macedonia,17,130.699999999999990,0.000000000000000,0.000000000000000
16,Netherlands,147,1372.500000000000000,9960.030000000000700,0.000000000000000
17,Norway,3,391.000000000000000,0.000000000000000,0.000000000000000
18,Poland,33,5942.799999999999300,0.000000000000000,0.000000000000000
19,Romania,30,0.000000000000000,267.560000000000000,246.780000000000000
20,Slovakia,4,0.000000000000000,0.521000000000000,0.300000000000000
21,United Kingdom,192,0.000000000000000,5127.190000000001400,2440.339999999999700