OBJECTID,COUNTRY,Cnt_COUNTRY,Sum_EST_STORECAP_MEAN,Sum_STORE_CAP_MEAN,Total_Aquifer_StoreCap,Total_StoreCap_Aquif_plus_HCFields_User_Est,OBJECTID_1,COUNTRY_1,Cnt_COUNTRY_1,Sum_EST_STORECAP_MEAN_1,Sum_MEAN_EST_STORE_CAP_GAS,Sum_MEAN_EST_STORE_CAP_OIL,Sum_MEAN_CALC_STORE_CAP_GAS,Sum_MEAN_CALC_STORE_CAP_OIL,Sum_STORE_CAP_MEAN_1,HC_Field_Total_User_est
1,Austria,6,19574.187999999998000,0.000000000000000,19574.187999999998000,41591.187999999995000,1,Austria,2,0.000000000000000,22000.000000000000000,17.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,22017.000000000000000
2,Belgium,7,242.000000000000000,227.093178124999950,242.000000000000000,242.000000000000000,2,Belgium,2,27.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.384150000000000,0.000000000000000
3,Bulgaria,11,2568.559999999999900,0.000000000000000,2568.559999999999900,2573.559999999999900,3,Bulgaria,1,0.000000000000000,5.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,5.000000000000000
4,Croatia,14,4066.675000000000200,4056.141102065857000,4066.675000000000200,4242.028353923000400,4,Croatia,17,0.000000000000000,136.413427354000020,38.939926568999994,0.000000000000000,0.000000000000000,0.000000000000000,175.353353923000010
5,Czech Republic,6,423.000000000000000,447.677014896000060,423.000000000000000,442.399999999999980,5,Czech Republic,6,188.399999999999980,18.000000000000000,1.400000000000000,19.497724999999999,2.064984000000000,219.124938300000030,19.399999999999999
6,Denmark,4,464400.000000000000000,51922.462537849999000,464400.000000000000000,464400.000000000000000,6,Denmark,10,16027.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,23223.274468000003000,0.000000000000000
7,France,5,29100.000000000000000,0.000000000000000,29100.000000000000000,29138.475999999999000,7,France,33,0.000000000000000,0.000000000000000,38.475999999999999,0.000000000000000,0.000000000000000,0.000000000000000,38.475999999999999
8,Germany,25,0.000000000000000,0.000000000000000,0.000000000000000,2353.399999999999600,8,Germany,75,0.000000000000000,2255.399999999999600,97.999999999999986,0.000000000000000,0.000000000000000,0.000000000000000,2353.399999999999600
9,Greece,3,1970.000000000000000,9503.357895000001000,1970.000000000000000,2007.000000000000000,9,Greece,8,1976.000000000000000,6.000000000000000,31.000000000000000,1008.761599999999900,32.469695999999999,9715.632399000000100,37.000000000000000
10,Hungary,16,310.759999999999990,214.150566747110330,310.759999999999990,408.766999999999940,10,Hungary,19,450.199999999999990,94.949999999999974,3.057000000000000,0.000000000000000,0.178763130000000,318.238482912413250,98.006999999999977
11,Ireland,9,499.899999999999980,2050.684326000000500,499.899999999999980,831.899999999999980,11,Ireland,2,40.500000000000000,332.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,332.000000000000000
12,Italy,26,4585.920200000000500,4585.148824004581000,4585.920200000000500,4719.471214273000400,12,Italy,14,0.000000000000000,132.488107015000000,1.062907258000000,132.587607411795490,1.062907258608000,0.000000000000000,133.551014272999990
13,Latvia,1,13552.000000000000000,13552.000000000000000,13552.000000000000000,13552.000000000000000,13,Latvia,18,919.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,347.463978720000000,0.000000000000000
14,Lithuania,1,78.000000000000000,84.696974999999995,78.000000000000000,85.079999999999998,14,Lithuania,14,72.700000000000003,0.590000000000000,6.489999999999998,0.000000000000000,4.739173900000001,146.424960000000000,7.079999999999998
15,Macedonia,3,20.899999999999999,143.308800000000020,20.899999999999999,20.899999999999999,15,Macedonia,17,130.699999999999990,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,44.876683199999995,0.000000000000000
16,Netherlands,18,0.000000000000000,0.000000000000000,0.000000000000000,9960.030000000000700,16,Netherlands,147,1372.500000000000000,9960.030000000000700,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,9960.030000000000700
17,Norway,9,45030.000000000000000,0.000000000000000,45030.000000000000000,45030.000000000000000,17,Norway,3,391.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
18,Poland,4,198647.600000000010000,198647.552496000020000,198647.600000000010000,198647.600000000010000,18,Poland,33,5942.799999999999300,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,5942.732120166249800,0.000000000000000
19,Romania,15,18000.000000000000000,0.000000000000000,18000.000000000000000,18514.340000000000000,19,Romania,30,0.000000000000000,267.560000000000000,246.780000000000000,0.000000000000000,0.000000000000000,0.000000000000000,514.340000000000030
20,Slovakia,37,7398.103000000001000,1819.725685000000600,7398.103000000001000,7398.924000000000900,20,Slovakia,4,0.000000000000000,0.521000000000000,0.300000000000000,0.063252000000000,0.000000000000000,0.000000000000000,0.821000000000000
21,United Kingdom,96,0.000000000000000,189446.132967985380000,189446.132967985380000,197163.672967985390000,21,United Kingdom,192,0.000000000000000,5277.200000000000700,2440.339999999999700,1673.000000000000000,1153.811882800000100,0.000000000000000,7717.540000000000900
22,Portugal,32,845.000000000000000,0.000000000000000,845.000000000000000,845.000000000000000,0,,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
23,Serbia & Montenegro,2,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0,,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
24,Slovenia,37,154.410000000000000,154.375320000000020,154.410000000000000,154.410000000000000,0,,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
25,Spain,45,5934.590000000002000,0.000000000000000,5934.590000000002000,5934.590000000002000,0,,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
26,Switzerland,4,2678.000000000000000,1849.948875000000000,2678.000000000000000,2678.000000000000000,0,,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000